full_address,estimate_date,estimate_value,estimate_range,link
"46B Bannister Avenue, Johnsonville, Wellington",8/01/2015,$1.07M,$995K - $1.15M,https://www.homes.co.nz/address/wellington/johnsonville/46b-bannister-avenue/yb9OV
"79 Clifford Road, Johnsonville, Wellington",1/01/1970,$825K,$780K - $870K,https://www.homes.co.nz/address/wellington/johnsonville/79-clifford-road/YPWop
"81 Clifford Road, Johnsonville, Wellington",5/11/2020,$1.93M,$1.8M - $2.07M,https://www.homes.co.nz/address/wellington/johnsonville/81-clifford-road/ROpZY
"19 Sheridan Terrace, Johnsonville, Wellington",14/03/2005,$1.03M,$960K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/19-sheridan-terrace/x48Lb
"78 Woodland Road, Johnsonville, Wellington",14/11/2000,$1.09M,$1.01M - $1.17M,https://www.homes.co.nz/address/wellington/johnsonville/78-woodland-road/84DpZ
"55 Bould Street, Johnsonville, Wellington",21/10/1997,$955K,$890K - $1.02M,https://www.homes.co.nz/address/wellington/johnsonville/55-bould-street/x4qLb
"43 Hindmarsh Street, Johnsonville, Wellington",5/04/2012,$935K,$870K - $1M,https://www.homes.co.nz/address/wellington/johnsonville/43-hindmarsh-street/NXlrM
"13A Atua Street, Johnsonville, Wellington",3/03/2015,$960K,$895K - $1.03M,https://www.homes.co.nz/address/wellington/johnsonville/13a-atua-street/o049g
"13 Braemar Terrace, Johnsonville, Wellington",1/01/1970,$1.19M,$1.11M - $1.28M,https://www.homes.co.nz/address/wellington/johnsonville/13-braemar-terrace/DLxAN
"13 Chapman Street, Johnsonville, Wellington",5/06/1995,$940K,$875K - $1.01M,https://www.homes.co.nz/address/wellington/johnsonville/13-chapman-street/84lwK
"15 Chesterton Street, Johnsonville, Wellington",7/10/1988,$1.18M,$1.09M - $1.26M,https://www.homes.co.nz/address/wellington/johnsonville/15-chesterton-street/0rJxn
"37 Monowai Road, Johnsonville, Wellington",16/02/2017,$1.3M,$1.21M - $1.39M,https://www.homes.co.nz/address/wellington/johnsonville/37-monowai-road/o0RzV
"21 Chapman Street, Johnsonville, Wellington",6/10/2017,$1.03M,$960K - $1.1M,https://www.homes.co.nz/address/wellington/johnsonville/21-chapman-street/Y2BQw
"25A Rotoiti Street, Johnsonville, Wellington",29/06/2021,$855K,$795K - $915K,https://www.homes.co.nz/address/wellington/johnsonville/25a-rotoiti-street/nLAqv
"17 Petherick Crescent, Johnsonville, Wellington",21/08/1986,$1.23M,$1.14M - $1.31M,https://www.homes.co.nz/address/wellington/johnsonville/17-petherick-crescent/nLkav
"17 Cunliffe Street, Johnsonville, Wellington",18/07/2007,$1.09M,$1.01M - $1.17M,https://www.homes.co.nz/address/wellington/johnsonville/17-cunliffe-street/wxEWj
"9 Angell Street, Johnsonville, Wellington",1/01/1970,$930K,$865K - $995K,https://www.homes.co.nz/address/wellington/johnsonville/9-angell-street/ekrKJ
"30 Haumia Street, Johnsonville, Wellington",1/01/1970,$850K,$790K - $910K,https://www.homes.co.nz/address/wellington/johnsonville/30-haumia-street/LDZvV
