full_address,estimate_date,estimate_value,estimate_range,link
"24 The Anchorage, Whitby, Porirua",14/05/2001,$1.27M,$1.2M - $1.34M,https://www.homes.co.nz/address/porirua/whitby/24-the-anchorage/X9jNj
"16 The Crowsnest, Whitby, Porirua",7/07/2003,$1.07M,$1.01M - $1.12M,https://www.homes.co.nz/address/porirua/whitby/16-the-crowsnest/WaxXb
"32 Thimble Lane, Whitby, Porirua",10/09/2020,$940K,$890K - $995K,https://www.homes.co.nz/address/porirua/whitby/32-thimble-lane/EkrjO
"28 Thimble Lane, Whitby, Porirua",18/08/2007,$900K,$850K - $950K,https://www.homes.co.nz/address/porirua/whitby/28-thimble-lane/GgoXk
"21 Woolwich Close, Whitby, Porirua",1/05/1993,$890K,$840K - $940K,https://www.homes.co.nz/address/porirua/whitby/21-woolwich-close/jpO8M
"18 Transom Close, Whitby, Porirua",5/08/2005,$890K,$845K - $940K,https://www.homes.co.nz/address/porirua/whitby/18-transom-close/05VYJ
"16 Semaphore Lane, Whitby, Porirua",8/12/2006,$1.67M,$1.58M - $1.76M,https://www.homes.co.nz/address/porirua/whitby/16-semaphore-lane/wBgKZ
"77 Endeavour Drive, Whitby, Porirua",10/06/2015,$1.46M,$1.38M - $1.54M,https://www.homes.co.nz/address/porirua/whitby/77-endeavour-drive/LwxaX
"1 Astronomer Place, Whitby, Porirua",27/03/2013,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/porirua/whitby/1-astronomer-place/L4e4o
"1 Bowman Place, Whitby, Porirua",6/10/1998,$1.24M,$1.17M - $1.31M,https://www.homes.co.nz/address/porirua/whitby/1-bowman-place/lbzgn
"3 Lanyon Place, Whitby, Porirua",15/01/1996,$1.2M,$1.14M - $1.27M,https://www.homes.co.nz/address/porirua/whitby/3-lanyon-place/JAMPR
"57 The Masthead, Whitby, Porirua",16/07/2017,$1.65M,$1.56M - $1.74M,https://www.homes.co.nz/address/porirua/whitby/57-the-masthead/B8EwY
"8 Spyglass Lane, Whitby, Porirua",1/01/1970,$1.17M,$1.11M - $1.24M,https://www.homes.co.nz/address/porirua/whitby/8-spyglass-lane/ppjJV
"31 Joseph Banks Drive, Whitby, Porirua",22/11/2010,$1.48M,$1.4M - $1.56M,https://www.homes.co.nz/address/porirua/whitby/31-joseph-banks-drive/Ynwvp
"28 Adventure Drive, Whitby, Porirua",1/06/2006,$990K,$935K - $1.04M,https://www.homes.co.nz/address/porirua/whitby/28-adventure-drive/EqYkO
"9A Observatory Close, Whitby, Porirua",2/07/2004,$1.32M,$1.25M - $1.39M,https://www.homes.co.nz/address/porirua/whitby/9a-observatory-close/ZeMg9
"8 Helm Place, Whitby, Porirua",12/10/2012,$1.42M,$1.34M - $1.5M,https://www.homes.co.nz/address/porirua/whitby/8-helm-place/9gNGo
"23 Thimble Lane, Whitby, Porirua",8/12/2003,$855K,$810K - $905K,https://www.homes.co.nz/address/porirua/whitby/23-thimble-lane/Ao4Mx
"43 Cleat Street, Whitby, Porirua",21/04/2018,$655K,$620K - $695K,https://www.homes.co.nz/address/porirua/whitby/43-cleat-street/L4V1N
"60 Spyglass Lane, Whitby, Porirua",31/08/2018,$1.09M,$1.03M - $1.15M,https://www.homes.co.nz/address/porirua/whitby/60-spyglass-lane/EkyX7
"42 Molyneux Close, Whitby, Porirua",16/03/2015,$1.26M,$1.19M - $1.33M,https://www.homes.co.nz/address/porirua/whitby/42-molyneux-close/OPnze
