full_address,estimate_date,estimate_value,estimate_range,link
"115 Montgomery Avenue, Karori, Wellington",12/10/2006,$960K,$900K - $1.02M,https://www.homes.co.nz/address/wellington/karori/115-montgomery-avenue/QRex4
"16 Plymouth Street, Karori, Wellington",4/03/2016,$1.18M,$1.1M - $1.26M,https://www.homes.co.nz/address/wellington/karori/16-plymouth-street/nLx27
"1 Cathie Place, Karori, Wellington",18/12/2006,$890K,$830K - $945K,https://www.homes.co.nz/address/wellington/karori/1-cathie-place/84nNK
"17 Parklands Drive, Karori, Wellington",27/11/2003,$1.19M,$1.11M - $1.27M,https://www.homes.co.nz/address/wellington/karori/17-parklands-drive/JL0E1
"39 Montgomery Avenue, Karori, Wellington",16/12/2016,$1.02M,$950K - $1.08M,https://www.homes.co.nz/address/wellington/karori/39-montgomery-avenue/nLXkp
"51A Cornford Street, Karori, Wellington",19/11/2020,$1.16M,$1.08M - $1.23M,https://www.homes.co.nz/address/wellington/karori/51a-cornford-street/2EpKZ
"9A Campbell Street, Karori, Wellington",15/10/2003,$1.86M,$1.74M - $1.99M,https://www.homes.co.nz/address/wellington/karori/9a-campbell-street/Gk09O
"58A Messines Road, Karori, Wellington",1/01/1970,$1.62M,$1.51M - $1.72M,https://www.homes.co.nz/address/wellington/karori/58a-messines-road/kk2xj
"65 Futuna Close, Karori, Wellington",10/04/2015,$1.24M,$1.16M - $1.31M,https://www.homes.co.nz/address/wellington/karori/65-futuna-close/15OLp
"39 Standen Street, Karori, Wellington",24/10/2014,$1.43M,$1.33M - $1.52M,https://www.homes.co.nz/address/wellington/karori/39-standen-street/NXBxM
"58 David Crescent, Karori, Wellington",26/02/2003,$1.23M,$1.16M - $1.29M,https://www.homes.co.nz/address/wellington/karori/58-david-crescent/nL1AM
"21A David Crescent, Karori, Wellington",24/10/2019,$1.15M,$1.07M - $1.22M,https://www.homes.co.nz/address/wellington/karori/21a-david-crescent/ZnaeP
"21 David Crescent, Karori, Wellington",4/09/1995,$1.26M,$1.18M - $1.34M,https://www.homes.co.nz/address/wellington/karori/21-david-crescent/OgMnX
"1A Woodhouse Avenue, Karori, Wellington",16/09/2011,$1.18M,$1.11M - $1.26M,https://www.homes.co.nz/address/wellington/karori/1a-woodhouse-avenue/NXGJ9
"11 Ramsey Place, Karori, Wellington",26/02/2021,$1.17M,$1.1M - $1.22M,https://www.homes.co.nz/address/wellington/karori/11-ramsey-place/4jzwQ
"10 Pimble Avenue, Karori, Wellington",21/03/2013,$1.03M,$960K - $1.09M,https://www.homes.co.nz/address/wellington/karori/10-pimble-avenue/kk7bW
