WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7348353167 -41.2786042833),345072,306140,Road,,109,,,,,Karori,Wellington,109,Parkvale Road,"109 Parkvale Road, Karori, Wellington",79764,174.73483532,-41.27860428,,,Karori,Wellington,Parkvale Road,"109 Parkvale Road, Karori, Wellington",174.7348353167,-41.2786042833
POINT (174.7290066 -41.2775916167),345105,306171,Road,,123,,,,,Karori,Wellington,123,Montgomery Avenue,"123 Montgomery Avenue, Karori, Wellington",99078,174.72900660,-41.27759162,,,Karori,Wellington,Montgomery Avenue,"123 Montgomery Avenue, Karori, Wellington",174.7290066,-41.2775916167
POINT (174.7273283833 -41.284765),345195,306259,Road,,20,,,,,Karori,Wellington,20,Marshall Street,"20 Marshall Street, Karori, Wellington",82066,174.72732838,-41.28476500,,,Karori,Wellington,Marshall Street,"20 Marshall Street, Karori, Wellington",174.7273283833,-41.284765
POINT (174.7346949167 -41.2835057),345205,306268,Road,,21,,,,,Karori,Wellington,21,Chamberlain Road,"21 Chamberlain Road, Karori, Wellington",99800,174.73469492,-41.28350570,,,Karori,Wellington,Chamberlain Road,"21 Chamberlain Road, Karori, Wellington",174.7346949167,-41.2835057
POINT (174.7262418667 -41.2804789667),345411,306463,Road,,5,,,,,Karori,Wellington,5,Appleton Place,"5 Appleton Place, Karori, Wellington",76241,174.72624187,-41.28047897,,,Karori,Wellington,Appleton Place,"5 Appleton Place, Karori, Wellington",174.7262418667,-41.2804789667
POINT (174.72958345 -41.2845028),345498,306548,Road,,77,,,,,Karori,Wellington,77,Victory Avenue,"77 Victory Avenue, Karori, Wellington",94391,174.72958345,-41.28450280,,,Karori,Wellington,Victory Avenue,"77 Victory Avenue, Karori, Wellington",174.72958345,-41.2845028
POINT (174.7276007833 -41.2852937167),345613,306658,Road,,12,,,,,Karori,Wellington,12,Marshall Street,"12 Marshall Street, Karori, Wellington",82066,174.72760078,-41.28529372,,,Karori,Wellington,Marshall Street,"12 Marshall Street, Karori, Wellington",174.7276007833,-41.2852937167
POINT (174.73292785 -41.2872022833),345673,306718,Road,,17,,,,,Karori,Wellington,17,Blakey Avenue,"17 Blakey Avenue, Karori, Wellington",79960,174.73292785,-41.28720228,,,Karori,Wellington,Blakey Avenue,"17 Blakey Avenue, Karori, Wellington",174.73292785,-41.2872022833
POINT (174.7318301833 -41.28950385),345966,306984,Road,,41,,,,,Karori,Wellington,41,Burrows Avenue,"41 Burrows Avenue, Karori, Wellington",95092,174.73183018,-41.28950385,,,Karori,Wellington,Burrows Avenue,"41 Burrows Avenue, Karori, Wellington",174.7318301833,-41.28950385
POINT (174.7320714167 -41.2885049667),346065,307083,Road,,6,,,,,Karori,Wellington,6,Pimble Avenue,"6 Pimble Avenue, Karori, Wellington",83536,174.73207142,-41.28850497,,,Karori,Wellington,Pimble Avenue,"6 Pimble Avenue, Karori, Wellington",174.7320714167,-41.2885049667
POINT (174.7263854 -41.2935103),346119,307131,Road,,80,,,,,Karori,Wellington,80,Woodhouse Avenue,"80 Woodhouse Avenue, Karori, Wellington",91931,174.72638540,-41.29351030,,,Karori,Wellington,Woodhouse Avenue,"80 Woodhouse Avenue, Karori, Wellington",174.7263854,-41.2935103
POINT (174.7266384 -41.2855256833),346135,307147,Road,,8,,,,,Karori,Wellington,8,Fernlea Avenue,"8 Fernlea Avenue, Karori, Wellington",83951,174.72663840,-41.28552568,,,Karori,Wellington,Fernlea Avenue,"8 Fernlea Avenue, Karori, Wellington",174.7266384,-41.2855256833
POINT (174.7347247833 -41.2887810667),346145,307157,Road,,9,,,,,Karori,Wellington,9,Kate Way,"9 Kate Way, Karori, Wellington",71839,174.73472478,-41.28878107,,,Karori,Wellington,Kate Way,"9 Kate Way, Karori, Wellington",174.7347247833,-41.2887810667
POINT (174.7400022 -41.2816881333),346583,307545,Road,,42,,,,,Karori,Wellington,42,Friend Street,"42 Friend Street, Karori, Wellington",80940,174.74000220,-41.28168813,,,Karori,Wellington,Friend Street,"42 Friend Street, Karori, Wellington",174.7400022,-41.2816881333
POINT (174.7369789667 -41.2819822333),346593,307553,Road,,44,,,,,Karori,Wellington,44,Parkvale Road,"44 Parkvale Road, Karori, Wellington",98437,174.73697897,-41.28198223,,,Karori,Wellington,Parkvale Road,"44 Parkvale Road, Karori, Wellington",174.7369789667,-41.2819822333
POINT (174.7366545 -41.2816923333),346632,307587,Road,,52,,,,,Karori,Wellington,52,Parkvale Road,"52 Parkvale Road, Karori, Wellington",98437,174.73665450,-41.28169233,,,Karori,Wellington,Parkvale Road,"52 Parkvale Road, Karori, Wellington",174.7366545,-41.2816923333
POINT (174.7426111667 -41.2795464),346638,307593,Road,,54,,,,,Karori,Wellington,54,Hatton Street,"54 Hatton Street, Karori, Wellington",94569,174.74261117,-41.27954640,,,Karori,Wellington,Hatton Street,"54 Hatton Street, Karori, Wellington",174.7426111667,-41.2795464
POINT (174.7422005833 -41.2838826333),346738,307691,Road,,7,,,,,Karori,Wellington,7,Donald Street,"7 Donald Street, Karori, Wellington",82768,174.74220058,-41.28388263,,,Karori,Wellington,Donald Street,"7 Donald Street, Karori, Wellington",174.7422005833,-41.2838826333
POINT (174.7403869667 -41.2897671),347205,308134,Road,,34,,,,,Karori,Wellington,34,Kano Street,"34 Kano Street, Karori, Wellington",71249,174.74038697,-41.28976710,,,Karori,Wellington,Kano Street,"34 Kano Street, Karori, Wellington",174.7403869667,-41.2897671
POINT (174.7411520667 -41.2903880833),347270,308197,Road,,41,,,,,Karori,Wellington,41,Kano Street,"41 Kano Street, Karori, Wellington",85745,174.74115207,-41.29038808,,,Karori,Wellington,Kano Street,"41 Kano Street, Karori, Wellington",174.7411520667,-41.2903880833
POINT (174.7363819167 -41.2883654667),347281,308208,Road,,43,,,,,Karori,Wellington,43,Monaghan Avenue,"43 Monaghan Avenue, Karori, Wellington",71380,174.73638192,-41.28836547,,,Karori,Wellington,Monaghan Avenue,"43 Monaghan Avenue, Karori, Wellington",174.7363819167,-41.2883654667
POINT (174.73848715 -41.29166755),347394,308317,Road,,5,,,,,Karori,Wellington,5,Beavis Lane,"5 Beavis Lane, Karori, Wellington",90505,174.73848715,-41.29166755,,,Karori,Wellington,Beavis Lane,"5 Beavis Lane, Karori, Wellington",174.73848715,-41.29166755
POINT (174.73977455 -41.2898983667),347475,308397,Road,,75,,,,,Karori,Wellington,75,Beauchamp Street,"75 Beauchamp Street, Karori, Wellington",71244,174.73977455,-41.28989837,,,Karori,Wellington,Beauchamp Street,"75 Beauchamp Street, Karori, Wellington",174.73977455,-41.2898983667
POINT (174.7522731 -41.2855331167),348418,309282,Road,,10,,,,,Karori,Wellington,10,Espin Crescent,"10 Espin Crescent, Karori, Wellington",96578,174.75227310,-41.28553312,,,Karori,Wellington,Espin Crescent,"10 Espin Crescent, Karori, Wellington",174.7522731,-41.2855331167
POINT (174.7453314 -41.2915755833),348479,309335,Road,,134,,,,,Karori,Wellington,134,Donald Street,"134 Donald Street, Karori, Wellington",81503,174.74533140,-41.29157558,,,Karori,Wellington,Donald Street,"134 Donald Street, Karori, Wellington",174.7453314,-41.2915755833
POINT (174.7467079333 -41.2925754667),348867,309685,Road,,6,,,,,Karori,Wellington,6,Versailles Street,"6 Versailles Street, Karori, Wellington",73088,174.74670793,-41.29257547,,,Karori,Wellington,Versailles Street,"6 Versailles Street, Karori, Wellington",174.7467079333,-41.2925754667
POINT (174.7475389667 -41.2902999167),348923,309738,Road,,89,,,,,Karori,Wellington,89,Duthie Street,"89 Duthie Street, Karori, Wellington",71098,174.74753897,-41.29029992,,,Karori,Wellington,Duthie Street,"89 Duthie Street, Karori, Wellington",174.7475389667,-41.2902999167
