WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.6766012 -36.5835183667),1991700,3173141,Road,,50,,,,,Orewa,Orewa,50,Ascension Crescent,"50 Ascension Crescent, Orewa",378304,174.67660120,-36.58351837,,,Orewa,Orewa,Ascension Crescent,"50 Ascension Crescent, Orewa",174.6766012,-36.5835183667
POINT (174.6748231167 -36.5848476167),2005275,3173199,Road,,27,,,,,Orewa,Orewa,27,Harvest Avenue,"27 Harvest Avenue, Orewa",385340,174.67482312,-36.58484762,,,Orewa,Orewa,Harvest Avenue,"27 Harvest Avenue, Orewa",174.6748231167,-36.5848476167
POINT (174.6753153833 -36.5846321333),2005278,3173242,Road,,7,,,,,Orewa,Orewa,7,Tawa Place,"7 Tawa Place, Orewa",382775,174.67531538,-36.58463213,,,Orewa,Orewa,Tawa Place,"7 Tawa Place, Orewa",174.6753153833,-36.5846321333
POINT (174.6759483167 -36.5843269667),2005293,3173156,Road,,12,,,,,Orewa,Orewa,12,Tawa Place,"12 Tawa Place, Orewa",382775,174.67594832,-36.58432697,,,Orewa,Orewa,Tawa Place,"12 Tawa Place, Orewa",174.6759483167,-36.5843269667
POINT (174.6757622167 -36.5844193),2005294,3173157,Road,,10,,,,,Orewa,Orewa,10,Tawa Place,"10 Tawa Place, Orewa",382775,174.67576222,-36.58441930,,,Orewa,Orewa,Tawa Place,"10 Tawa Place, Orewa",174.6757622167,-36.5844193
POINT (174.67681345 -36.5846745833),2005300,3173165,Road,,21,,,,,Orewa,Orewa,21,Ascension Crescent,"21 Ascension Crescent, Orewa",382786,174.67681345,-36.58467458,,,Orewa,Orewa,Ascension Crescent,"21 Ascension Crescent, Orewa",174.67681345,-36.5846745833
POINT (174.69457095 -36.5862416),2085429,3208487,Road,,3,A,,,,Orewa,Orewa,3A,Moana Avenue,"3A Moana Avenue, Orewa",201723,174.69457095,-36.58624160,,,Orewa,Orewa,Moana Avenue,"3A Moana Avenue, Orewa",174.69457095,-36.5862416
POINT (174.6946 -36.58542),1491780,3208443,Road,,6,,,,,Orewa,Orewa,6,Florence Avenue,"6 Florence Avenue, Orewa",316876,174.69460000,-36.58542000,,,Orewa,Orewa,Florence Avenue,"6 Florence Avenue, Orewa",174.6946,-36.58542
POINT (174.692678 -36.586205),1497343,3208450,Road,,9,,,,,Orewa,Orewa,9,George Lowe Place,"9 George Lowe Place, Orewa",191494,174.69267800,-36.58620500,,,Orewa,Orewa,George Lowe Place,"9 George Lowe Place, Orewa",174.692678,-36.586205
POINT (174.69379 -36.58498),1502905,3208410,Road,,19,,,,,Orewa,Orewa,19,Florence Avenue,"19 Florence Avenue, Orewa",322078,174.69379000,-36.58498000,,,Orewa,Orewa,Florence Avenue,"19 Florence Avenue, Orewa",174.69379,-36.58498
POINT (174.6927984667 -36.5852203333),1505112,3208504,Road,,33,,,,,Orewa,Orewa,33,Florence Avenue,"33 Florence Avenue, Orewa",191497,174.69279847,-36.58522033,,,Orewa,Orewa,Florence Avenue,"33 Florence Avenue, Orewa",174.6927984667,-36.5852203333
POINT (174.672965 -36.575351),1518865,3173009,Road,,48,,,,,Orewa,Orewa,48,Sunnyheights Road,"48 Sunnyheights Road, Orewa",391600,174.67296500,-36.57535100,,,Orewa,Orewa,Sunnyheights Road,"48 Sunnyheights Road, Orewa",174.672965,-36.575351
POINT (174.6767831167 -36.58323835),1646601,3173204,Road,,34,,,,,Orewa,Orewa,34,Maire Road,"34 Maire Road, Orewa",200196,174.67678312,-36.58323835,,,Orewa,Orewa,Maire Road,"34 Maire Road, Orewa",174.6767831167,-36.58323835
POINT (174.6928028833 -36.5828698167),1927647,3207909,Road,,23,,,,,Orewa,Orewa,23,Alice Avenue,"23 Alice Avenue, Orewa",191493,174.69280288,-36.58286982,,,Orewa,Orewa,Alice Avenue,"23 Alice Avenue, Orewa",174.6928028833,-36.5828698167
POINT (174.6773210667 -36.5843472333),1986118,3173209,Road,,30,,,,,Orewa,Orewa,30,Ascension Crescent,"30 Ascension Crescent, Orewa",382786,174.67732107,-36.58434723,,,Orewa,Orewa,Ascension Crescent,"30 Ascension Crescent, Orewa",174.6773210667,-36.5843472333
POINT (174.67641075 -36.58311735),1991708,3173223,Road,,3,,,,,Orewa,Orewa,3,Manawanui Way,"3 Manawanui Way, Orewa",378305,174.67641075,-36.58311735,,,Orewa,Orewa,Manawanui Way,"3 Manawanui Way, Orewa",174.67641075,-36.58311735
POINT (174.6776352 -36.58400225),1991717,3173149,Road,,21,,,,,Orewa,Orewa,21,Manawanui Way,"21 Manawanui Way, Orewa",378307,174.67763520,-36.58400225,,,Orewa,Orewa,Manawanui Way,"21 Manawanui Way, Orewa",174.6776352,-36.58400225
POINT (174.6935939833 -36.5847363),1992319,3208429,Road,,3,B,,,,Orewa,Orewa,3B,Alice Avenue,"3B Alice Avenue, Orewa",162857,174.69359398,-36.58473630,,,Orewa,Orewa,Alice Avenue,"3B Alice Avenue, Orewa",174.6935939833,-36.5847363
POINT (174.6760452167 -36.58500885),2005306,3173168,Road,,9,,,,,Orewa,Orewa,9,Ascension Crescent,"9 Ascension Crescent, Orewa",382786,174.67604522,-36.58500885,,,Orewa,Orewa,Ascension Crescent,"9 Ascension Crescent, Orewa",174.6760452167,-36.58500885
POINT (174.6754427167 -36.58558015),2005327,3173255,Road,,4,,,,,Orewa,Orewa,4,Taraire Place,"4 Taraire Place, Orewa",375790,174.67544272,-36.58558015,,,Orewa,Orewa,Taraire Place,"4 Taraire Place, Orewa",174.6754427167,-36.58558015
